Company,Model,Variant,Ex-Showroom_Price,Energy_source(cc/kwh),Drivetrain,Fuel_Tank_Capacity,Fuel_Type,Type,Seating_Capacity,Seats_Material,Cylinders,Cylinder_Configuration,Engine_Location,Height,Length,Width,Body_Type,Power_Value,Power_Unit,Power_RPM,Torque_Value,Torque_Unit,Torque_RPM_Min
Toyota,Innova Crysta,2.4 Gx 8 Str,1610000,2393,RWD (Rear Wheel Drive),55.0,Diesel,Manual,8,Fabric,4,In-line,"Front, Longitudinal",1795,4735,1830,MUV,150,PS,3400.0,343.0,NM,1400.0
Toyota,Innova Crysta,2.4 Vx 8 Str,1932000,2393,RWD (Rear Wheel Drive),55.0,Diesel,Manual,8,Fabric,4,In-line,"Front, Longitudinal",1795,4735,1830,MUV,150,PS,3400.0,343.0,NM,1400.0
Toyota,Innova Crysta,2.4 Zx 7 Str,2113000,2393,RWD (Rear Wheel Drive),55.0,Diesel,Manual,7,Fabric,4,In-line,"Front, Longitudinal",1795,4735,1830,MUV,150,PS,3400.0,343.0,NM,1400.0
Toyota,Innova Crysta,2.7 Gx At 8 Str,1620000,2694,RWD (Rear Wheel Drive),55.0,Petrol,Automatic,8,Fabric,4,In-line,"Front, Longitudinal",1795,4735,1830,MUV,166,PS,5200.0,245.0,NM,4000.0
Toyota,Innova Crysta,2.7 Gx At 7 Str,1615000,2694,RWD (Rear Wheel Drive),55.0,Petrol,Automatic,7,Fabric,4,In-line,"Front, Longitudinal",1795,4735,1830,MUV,166,PS,3400.0,245.0,NM,1200.0
Toyota,Innova Crysta,2.7 Zx At 7 Str,2103000,2393,RWD (Rear Wheel Drive),55.0,Petrol,Automatic,7,Fabric,4,In-line,"Front, Longitudinal",1795,4735,1830,MUV,164,BHP,5200.0,245.0,NM,4000.0
Toyota,Innova Crysta,2.7 Vx 7 Str,1807000,2393,RWD (Rear Wheel Drive),55.0,Petrol,Manual,7,Fabric,4,In-line,"Front, Longitudinal",1795,4735,1830,MUV,150,PS,3400.0,343.0,NM,1400.0
Toyota,Innova Crysta,2.7 Gx Mt 7 Str,1493000,2755,RWD (Rear Wheel Drive),55.0,Petrol,Manual,7,Fabric,4,In-line,"Front, Longitudinal",1795,4735,1830,MUV,174,PS,3400.0,360.0,NM,1200.0
Toyota,Innova Crysta,2.7 Gx Mt 8 Str,1498000,2755,RWD (Rear Wheel Drive),55.0,Petrol,Manual,8,Fabric,4,In-line,"Front, Longitudinal",1795,4735,1830,MUV,174,PS,3400.0,360.0,NM,1200.0
Toyota,Innova Crysta,Touring Sport 2.4 Vx 7 Str,2097000,2393,RWD (Rear Wheel Drive),55.0,Diesel,Manual,7,Fabric,4,In-line,"Front, Longitudinal",1795,4735,1830,MUV,150,PS,3400.0,343.0,NM,1400.0
